targetMuscle,title,path_url,exercise_id,exercise_name,targetMuscles_api,secondaryMuscles_api,bodyParts_api,equipments_api,gif_url,match_score,status,search_text
full-body,One Arm Medicine Ball Slam,data/One-Arm-Medicine-Ball-Slam.gif,aDoFKrE,medicine ball chest pass,"[""pectorals""]","[""shoulders"", ""triceps""]","[""chest""]","[""medicine ball""]",https://static.exercisedb.dev/media/aDoFKrE.gif,56.22,matched,"medicine ball chest pass [""pectorals""] [""shoulders"", ""triceps""]"
full-body,Navy Seal Burpee,data/Navy-Seal-Burpee.gif,0JtKWum,dumbbell burpee,"[""cardiovascular system""]","[""quadriceps"", ""hamstrings"", ""calves"", ""shoulders"", ""triceps"", ""core""]","[""cardio""]","[""dumbbell""]",https://static.exercisedb.dev/media/0JtKWum.gif,46.45,matched,"dumbbell burpee [""cardiovascular system""] [""quadriceps"", ""hamstrings"", ""calves"", ""shoulders"", ""triceps"", ""core""]"
full-body,Dumbbell Walking Lunge,data/Dumbbell-Walking-Lunge.gif,1VpF8db,dumbbell bicep curl lunge with bowling motion,"[""biceps""]","[""forearms"", ""shoulders""]","[""upper arms""]","[""dumbbell""]",https://static.exercisedb.dev/media/1VpF8db.gif,62.22,matched,"dumbbell bicep curl lunge with bowling motion [""biceps""] [""forearms"", ""shoulders""]"
full-body,Dumbbell Push Press,data/Dumbbell-Push-Press.gif,1qrWgZ2,dumbbell decline hammer press,"[""pectorals""]","[""triceps"", ""shoulders""]","[""chest""]","[""dumbbell""]",https://static.exercisedb.dev/media/1qrWgZ2.gif,67.88,matched,"dumbbell decline hammer press [""pectorals""] [""triceps"", ""shoulders""]"
full-body,Dumbbell Deadlift,data/Dumbbell-Deadlift.gif,2Ty4idJ,advanced dumbbell stiff leg deadlift,"[""glutes""]","[""hamstrings"", ""lower back""]","[""upper legs""]","[""dumbbell""]",https://static.exercisedb.dev/media/2Ty4idJ.gif,80.0,matched,"advanced dumbbell stiff leg deadlift [""glutes""] [""hamstrings"", ""lower back""]"
full-body,Dumbbell Sumo Deadlift,data/Dumbbell-Sumo-Deadlift.gif,2Ty4idJ,advanced dumbbell stiff leg deadlift,"[""glutes""]","[""hamstrings"", ""lower back""]","[""upper legs""]","[""dumbbell""]",https://static.exercisedb.dev/media/2Ty4idJ.gif,69.74,matched,"advanced dumbbell stiff leg deadlift [""glutes""] [""hamstrings"", ""lower back""]"
full-body,Backward Medicine Ball Throw,data/Backward-Medicine-Ball-Throw.gif,aDoFKrE,medicine ball chest pass,"[""pectorals""]","[""shoulders"", ""triceps""]","[""chest""]","[""medicine ball""]",https://static.exercisedb.dev/media/aDoFKrE.gif,56.22,matched,"medicine ball chest pass [""pectorals""] [""shoulders"", ""triceps""]"
full-body,Zercher Carry,data/Zercher-Carry.gif,72BC5Za,archer pull up,"[""lats""]","[""biceps"", ""forearms""]","[""back""]","[""body weight""]",https://static.exercisedb.dev/media/72BC5Za.gif,35.56,matched,"archer pull up [""lats""] [""biceps"", ""forearms""]"
full-body,Wall Walk,data/Wall-Walk.gif,a8VDgLw,stationary bike walk,"[""cardiovascular system""]","[""quadriceps"", ""hamstrings"", ""calves""]","[""cardio""]","[""leverage machine""]",https://static.exercisedb.dev/media/a8VDgLw.gif,49.23,matched,"stationary bike walk [""cardiovascular system""] [""quadriceps"", ""hamstrings"", ""calves""]"
full-body,Kettlebell Hang Clean,data/Kettlebell-Hang-Clean.gif,4KJEpzb,kettlebell bottoms up clean from the hang position,"[""biceps""]","[""forearms"", ""shoulders""]","[""upper arms""]","[""kettlebell""]",https://static.exercisedb.dev/media/4KJEpzb.gif,80.0,matched,"kettlebell bottoms up clean from the hang position [""biceps""] [""forearms"", ""shoulders""]"
full-body,Dumbbell Power Clean,data/Dumbbell-Power-Clean.gif,7Hg55JG,dumbbell clean,"[""glutes""]","[""hamstrings"", ""quadriceps"", ""calves""]","[""upper legs""]","[""dumbbell""]",https://static.exercisedb.dev/media/7Hg55JG.gif,80.0,matched,"dumbbell clean [""glutes""] [""hamstrings"", ""quadriceps"", ""calves""]"
full-body,Dumbbell Devil Press,data/Dumbbell-Devil-Press.gif,1qrWgZ2,dumbbell decline hammer press,"[""pectorals""]","[""triceps"", ""shoulders""]","[""chest""]","[""dumbbell""]",https://static.exercisedb.dev/media/1qrWgZ2.gif,65.88,matched,"dumbbell decline hammer press [""pectorals""] [""triceps"", ""shoulders""]"
full-body,Overhead Squat,data/Overhead-Squat.gif,5BZHW9s,squat to overhead reach with twist,"[""quads""]","[""glutes"", ""hamstrings"", ""core""]","[""upper legs""]","[""body weight""]",https://static.exercisedb.dev/media/5BZHW9s.gif,80.0,matched,"squat to overhead reach with twist [""quads""] [""glutes"", ""hamstrings"", ""core""]"
full-body,Ski Ergometer,data/Ski-Ergometer.gif,5MRH8H2,ski step,"[""cardiovascular system""]","[""quadriceps"", ""hamstrings"", ""glutes"", ""calves""]","[""cardio""]","[""body weight""]",https://static.exercisedb.dev/media/5MRH8H2.gif,45.71,matched,"ski step [""cardiovascular system""] [""quadriceps"", ""hamstrings"", ""glutes"", ""calves""]"
full-body,Human Flag,data/Human-Flag.gif,01qpYSe,upward facing dog,"[""spine""]","[""shoulders"", ""chest""]","[""back""]","[""body weight""]",https://static.exercisedb.dev/media/01qpYSe.gif,35.56,matched,"upward facing dog [""spine""] [""shoulders"", ""chest""]"
