targetMuscle,title,src,path_url
full-body,One Arm Medicine Ball Slam,https://fitnessprogramer.com/wp-content/uploads/2024/06/One-Arm-Medicine-Ball-Slam.gif,/content/drive/MyDrive/fitness/data/One-Arm-Medicine-Ball-Slam.gif
full-body,Navy Seal Burpee,https://fitnessprogramer.com/wp-content/uploads/2023/10/Navy-Seal-Burpee.gif,/content/drive/MyDrive/fitness/data/Navy-Seal-Burpee.gif
full-body,Dumbbell Walking Lunge,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-lunges.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Walking-Lunge.gif
full-body,Dumbbell Push Press,https://fitnessprogramer.com/wp-content/uploads/2023/10/Dumbbell-Push-Press.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Push-Press.gif
full-body,Dumbbell Deadlift,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-deadlifts.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Deadlift.gif
full-body,Dumbbell Sumo Deadlift,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-sumo-deadlift.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Sumo-Deadlift.gif
full-body,Backward Medicine Ball Throw,https://fitnessprogramer.com/wp-content/uploads/2023/05/Backward-Medicine-Ball-Throw.gif,/content/drive/MyDrive/fitness/data/Backward-Medicine-Ball-Throw.gif
full-body,Zercher Carry,https://fitnessprogramer.com/wp-content/uploads/2023/01/zercher-carry.gif,/content/drive/MyDrive/fitness/data/Zercher-Carry.gif
full-body,Wall Walk,https://fitnessprogramer.com/wp-content/uploads/2022/12/wall-walk-muscles.gif,/content/drive/MyDrive/fitness/data/Wall-Walk.gif
full-body,Kettlebell Hang Clean,https://fitnessprogramer.com/wp-content/uploads/2022/07/Kettlebell-Hang-Clean.gif,/content/drive/MyDrive/fitness/data/Kettlebell-Hang-Clean.gif
full-body,Dumbbell Power Clean,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Power-Clean.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Power-Clean.gif
full-body,Dumbbell Devil Press,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Devil-Press.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Devil-Press.gif
full-body,Overhead Squat,https://fitnessprogramer.com/wp-content/uploads/2022/07/overhead-squat.gif,/content/drive/MyDrive/fitness/data/Overhead-Squat.gif
full-body,Ski Ergometer,https://fitnessprogramer.com/wp-content/uploads/2022/02/Ski-Ergometer.gif,/content/drive/MyDrive/fitness/data/Ski-Ergometer.gif
full-body,Human Flag,https://fitnessprogramer.com/wp-content/uploads/2022/02/Human-Flag.gif,/content/drive/MyDrive/fitness/data/Human-Flag.gif
full-body,Farmer's Walk,https://fitnessprogramer.com/wp-content/uploads/2022/02/Farmers-walk_Cardio.gif,/content/drive/MyDrive/fitness/data/Farmer's-Walk.gif
full-body,Log Lift,https://fitnessprogramer.com/wp-content/uploads/2022/02/Log-Lift.gif,/content/drive/MyDrive/fitness/data/Log-Lift.gif
full-body,Tire Sledge Hammer,https://fitnessprogramer.com/wp-content/uploads/2022/02/Tire-SledgeHammer.gif,/content/drive/MyDrive/fitness/data/Tire-Sledge-Hammer.gif
full-body,Tire Flip,https://fitnessprogramer.com/wp-content/uploads/2022/02/StrongMan-Tire-Flip.gif,/content/drive/MyDrive/fitness/data/Tire-Flip.gif
full-body,Barbell Snatch,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Snatch.gif,/content/drive/MyDrive/fitness/data/Barbell-Snatch.gif
full-body,Power Snatch,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Power-Snatch.gif,/content/drive/MyDrive/fitness/data/Power-Snatch.gif
full-body,Muscle Snatch,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Muscle-Snatch.gif,/content/drive/MyDrive/fitness/data/Muscle-Snatch.gif
full-body,Heaving Snatch Balance,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Heaving-Snatch-Balance.gif,/content/drive/MyDrive/fitness/data/Heaving-Snatch-Balance.gif
full-body,Barbell Hang Clean,https://fitnessprogramer.com/wp-content/uploads/2022/07/Barbell-Hang-Clean.gif,/content/drive/MyDrive/fitness/data/Barbell-Hang-Clean.gif
full-body,Rowing Machine,https://fitnessprogramer.com/wp-content/uploads/2021/06/Rowing-Machine.gif,/content/drive/MyDrive/fitness/data/Rowing-Machine.gif
full-body,Barbell Bent Over Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Bent-Over-Row.gif,/content/drive/MyDrive/fitness/data/Barbell-Bent-Over-Row.gif
full-body,Legless Rope Climb,https://fitnessprogramer.com/wp-content/uploads/2022/02/Rope-Climb.gif,/content/drive/MyDrive/fitness/data/Legless-Rope-Climb.gif
full-body,Push-up Toe Touch,https://fitnessprogramer.com/wp-content/uploads/2022/02/Push-up-Toe-Touch.gif,/content/drive/MyDrive/fitness/data/Push-up-Toe-Touch.gif
full-body,Bent Over Dumbbell Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Dumbbell-Row.gif,/content/drive/MyDrive/fitness/data/Bent-Over-Dumbbell-Row.gif
full-body,Muscle-Up,https://fitnessprogramer.com/wp-content/uploads/2021/05/Muscle-up-vertical-bar.gif,/content/drive/MyDrive/fitness/data/Muscle-Up.gif
full-body,Push Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/push-press-1.gif,/content/drive/MyDrive/fitness/data/Push-Press.gif
full-body,Landmine Squat to Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Landmine-Press.gif,/content/drive/MyDrive/fitness/data/Landmine-Squat-to-Press.gif
full-body,Barbell Clean and Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Clean-and-Press-.gif,/content/drive/MyDrive/fitness/data/Barbell-Clean-and-Press.gif
full-body,Power Clean,https://fitnessprogramer.com/wp-content/uploads/2021/04/Power-Clean-.gif,/content/drive/MyDrive/fitness/data/Power-Clean.gif
full-body,Turkish Get-up,https://fitnessprogramer.com/wp-content/uploads/2021/04/Turkish-Get-Up-Squat-style.gif,/content/drive/MyDrive/fitness/data/Turkish-Get-up.gif
full-body,Kettlebell Swings,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kettlebell-Swings.gif,/content/drive/MyDrive/fitness/data/Kettlebell-Swings.gif
full-body,One Arm Kettlebell Snatch,https://fitnessprogramer.com/wp-content/uploads/2021/03/One-Arm-Kettlebell-Snatch-exercise.gif,/content/drive/MyDrive/fitness/data/One-Arm-Kettlebell-Snatch.gif
full-body,Impossible Dips,https://fitnessprogramer.com/wp-content/uploads/2022/01/Impossible-Dips.gif,/content/drive/MyDrive/fitness/data/Impossible-Dips.gif
full-body,Korean Dips,https://fitnessprogramer.com/wp-content/uploads/2022/01/Korean-Dips.gif,/content/drive/MyDrive/fitness/data/Korean-Dips.gif
full-body,Straight Bar Dip,https://fitnessprogramer.com/wp-content/uploads/2022/01/Straight-Bar-Dip.gif,/content/drive/MyDrive/fitness/data/Straight-Bar-Dip.gif
full-body,Kettlebell Clean and Jerk,https://fitnessprogramer.com/wp-content/uploads/2021/06/Kettlebell-Clean-and-Jerk.gif,/content/drive/MyDrive/fitness/data/Kettlebell-Clean-and-Jerk.gif
full-body,Dumbbell Burpees,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Burpees.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Burpees.gif
full-body,Dumbbell Jump Squat,https://fitnessprogramer.com/wp-content/uploads/2022/04/Dumbbell-Jump-Squat.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Jump-Squat.gif
